Indicator,Urban,Rural,Total,Total NFHS4,State
9. Population living in households that use an improved sanitation facility2 (%),69.2,45.7,49.4,26.5,Bihar
10. Households using clean fuel for cooking3  (%),78.6,30.3,37.8,17.8,Bihar
11. Households using iodized salt (%),96.2,92.8,93.3,93.6,Bihar
12. Households with any usual member covered under a health insurance/financing scheme (%),11.6,15.1,14.6,12.3,Bihar
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),18.5,10.5,11.5,,Bihar
Characteristics of Adults (age 15-49 years),,,,,Bihar
14. Women who are literate4  (%),74.9,54.5,57.8,,Bihar
15. Men who are literate4  (%),84,77,78.5,,Bihar
16. Women with 10 or more years of schooling (%),48,25.2,28.8,22.8,Bihar
17. Men with 10 or more years of schooling (%),57.1,38.9,42.8,42.5,Bihar
18. Women who have ever used the internet (%),38.4,17,20.6,,Bihar
19. Men who have ever used the internet (%),58.4,39.4,43.6,,Bihar
Marriage and Fertility,,,,,Bihar
20. Women age 20-24 years married before age 18 years (%),27.9,43.4,40.8,42.5,Bihar
21. Men age 25-29 years married before age 21 years (%),18.3,34.3,30.5,35.3,Bihar
22. Total fertility rate (children per woman),2.4,3.1,3,3.4,Bihar
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.4,11.6,11,12.2,Bihar
24. Adolescent fertility rate for women age 15-19 years5,60,80,77,77,Bihar
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Bihar
25. Neonatal mortality rate (NNMR),29.5,35.2,34.5,36.7,Bihar
26. Infant mortality rate (IMR),43.1,47.3,46.8,48.1,Bihar
27. Under-five mortality rate (U5MR),50,57.4,56.4,58.1,Bihar
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Bihar
28. Any method6  (%),62.3,54.6,55.8,24.1,Bihar
29. Any modern method6  (%),47,43.9,44.4,23.3,Bihar
30. Female sterilization (%),31.8,35.3,34.8,20.7,Bihar
31. Male sterilization (%),0.2,0.1,0.1,0,Bihar
32. IUD/PPIUD (%),1.3,0.7,0.8,0.5,Bihar
33. Pill (%),3.6,1.8,2,0.8,Bihar
34. Condom (%),7.3,3.4,4,1,Bihar
35. Injectables (%),1.1,1.1,1.1,0.3,Bihar
Unmet Need for Family Planning (currently married women age 15–49 years),,,,,Bihar
36. Total unmet need7 (%),11.5,13.9,13.6,21.2,Bihar
37. Unmet need for spacing7  (%),5,6.3,6.1,9.4,Bihar
Quality of Family Planning Services,,,,,Bihar
38. Health worker ever talked to female non-users about family planning (%),17.5,20.7,20.2,12,Bihar
39. Current users ever told about side effects of current method8  (%),49.3,50,49.9,34.4,Bihar
Maternal and Child Health,,,,,Bihar
Maternity Care (for last birth in the 5 years before the survey),,,,,Bihar
40. Mothers who had an antenatal check-up in the first trimester (%),59.8,51.9,52.9,34.6,Bihar
41. Mothers who had at least 4 antenatal care visits (%),32.4,24,25.2,14.4,Bihar
42. Mothers whose last birth was protected against neonatal tetanus9  (%),90.5,89.4,89.5,89.6,Bihar
43. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),26,16.7,18,9.7,Bihar
44. Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),15.3,8.3,9.3,2.3,Bihar
45. Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),85,90.2,89.5,79.9,Bihar
46. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),62.6,56.5,57.3,42.3,Bihar
47. Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,511","2,771","2,848","1,784",Bihar
48. Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),3.1,2.9,2.9,1.8,Bihar
49. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.1,58.2,59.3,,Bihar
Delivery Care (for births in the 5 years before the survey),,,,,Bihar
50. Institutional births (%),84.1,75,76.2,63.8,Bihar
51. Institutional births in public facility (%),47.4,58.3,56.9,47.6,Bihar
52. Home births that were conducted by skilled health personnel10  (%),3.6,6.5,6.1,8.2,Bihar
53. Births attended by skilled health personnel10  (%),83.1,78.3,79,70,Bihar
54. Births delivered by caesarean section (%),15.7,8.8,9.7,6.2,Bihar
55. Births in a private health facility that were delivered by caesarean section (%),36.7,40.6,39.6,31,Bihar
56. Births in a public health facility that were delivered by caesarean section (%),4.7,3.5,3.6,2.6,Bihar
Child Vaccinations and Vitamin A Supplementation,,,,,Bihar
57. Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall11  (%),66.7,71.6,71,61.7,Bihar
58. Children age 12-23 months fully vaccinated based on information from vaccination card only12  (%),77.4,83.4,82.7,77.1,Bihar
59. Children age 12-23 months who have received BCG (%),95.3,95.6,95.5,91.6,Bihar
60. Children age 12-23 months who have received 3 doses of polio vaccine13  (%),71.1,76.2,75.5,72.9,Bihar
61. Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83,85.3,85,80.1,Bihar
62. Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.2,86,85.7,79.4,Bihar
63. Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),35.1,29.1,29.9,,Bihar
64. Children age 12-23 months who have received 3 doses of rotavirus vaccine14  (%),4.9,3.1,3.4,,Bihar
65. Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.2,82.6,82.3,65.5,Bihar
66. Children age 9-59 months who received a vitamin A dose in the last 6 months (%),52.5,56.5,56,62.3,Bihar
67. Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.1,97.4,96.6,95.5,Bihar
68. Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.4,1.4,2.2,3.9,Bihar
Treatment of Childhood Diseases (children under age 5 years),,,,,Bihar
69. Prevalence of diarrhoea in the 2 weeks preceding the survey (%),12.6,13.9,13.7,10.4,Bihar
70. Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),56.7,58.4,58.2,45.2,Bihar
71. Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),25.3,25.6,25.6,20.1,Bihar
72. Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.2,64.9,64.7,54.9,Bihar
73. Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3,3.6,3.5,2.5,Bihar
74. Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),67.8,69.6,69.4,59.8,Bihar
Child Feeding Practices and Nutritional Status of Children,,,,,Bihar
75. Children under age 3 years breastfed within one hour of birth15  (%),35.1,30.5,31.1,34.9,Bihar
76. Children under age 6 months exclusively breastfed16  (%),55.8,59.4,58.9,53.4,Bihar
77. Children age 6-8 months receiving solid or semi-solid food and breastmilk16  (%),38.8,39,39,30.8,Bihar
"78. Breastfeeding children age 6-23 months receiving an adequate diet16, 17   (%)",8.2,11.2,10.8,7.3,Bihar
"79. Non-breastfeeding children age 6-23 months receiving an adequate diet16, 17  (%)",13.8,11.1,11.5,9.2,Bihar
"80. Total children age 6-23 months receiving an adequate diet16, 17   (%)",9.2,11.2,10.9,7.5,Bihar
81. Children under 5 years who are stunted (height-for-age)18  (%),36.8,43.9,42.9,48.3,Bihar
82. Children under 5 years who are wasted (weight-for-height)18  (%),21.6,23.1,22.9,20.8,Bihar
83. Children under 5 years who are severely wasted (weight-for-height)19  (%),7.7,9,8.8,7,Bihar
84. Children under 5 years who are underweight (weight-for-age)18  (%),35.8,41.8,41,43.9,Bihar
85. Children under 5 years who are overweight (weight-for-height)20  (%),2.2,2.4,2.4,1.2,Bihar
Nutritional Status of Adults (age 15-49 years),,,,,Bihar
86. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2)21  (%),18.7,26.9,25.6,30.4,Bihar
87. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),12.9,23.8,21.5,25.4,Bihar
88. Women who are overweight or obese (BMI ?25.0 kg/m2)21  (%),25.2,14.2,15.9,11.7,Bihar
89. Men who are overweight or obese (BMI ?25.0 kg/m2) (%),18.7,13.6,14.7,12.6,Bihar
90. Women who have high risk waist-to-hip ratio (?0.85) (%),68.4,58.8,60.3,,Bihar
91. Men who have high risk waist-to-hip ratio (?0.90) (%),54.8,45.9,47.7,,Bihar
Anaemia among Children and Adults,,,,,Bihar
92. Children age 6-59 months who are anaemic (<11.0 g/dl)22  (%),67.9,69.7,69.4,63.5,Bihar
93. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl)22  (%),66,63.1,63.6,60.4,Bihar
94. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl)22  (%),56.1,63.9,63.1,58.3,Bihar
95. All women age 15-49 years who are anaemic22  (%),65.6,63.1,63.5,60.3,Bihar
96. All women age 15-19 years who are anaemic22  (%),67.2,65.4,65.7,61,Bihar
97. Men age 15-49 years who are anaemic (<13.0 g/dl)22 (%),27.1,30.1,29.5,32.3,Bihar
98. Men age 15-19 years who are anaemic (<13.0 g/dl)22 (%),33,35.2,34.8,37.8,Bihar
Blood Sugar Level among Adults (age 15 years and above),,,,,Bihar
Women,,,,,Bihar
99.   Blood sugar level - high (141-160 mg/dl)23 (%),7.2,6.3,6.4,,Bihar
100. Blood sugar level - very high (>160 mg/dl)23 (%),8,4.9,5.4,,Bihar
101. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),16.3,12,12.7,,Bihar
Men,,,,,Bihar
102. Blood sugar level - high (141-160 mg/dl)23 (%),10.2,7.8,8.3,,Bihar
103. Blood sugar level - very high (>160 mg/dl)23  (%),9.2,6.5,7,,Bihar
104. Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level23  (%),20.3,15.4,16.2,,Bihar
Hypertension among Adults (age 15 years and above),,,,,Bihar
Women,,,,,Bihar
105. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9,8.6,8.7,,Bihar
"106. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",3.2,3.7,3.6,,Bihar
"107. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",16.6,15.8,15.9,,Bihar
Men,,,,,Bihar
108. Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.7,11,11.2,,Bihar
"109. Moderately or severely elevated blood pressure (Systolic ?160 mm of Hg and/or
Diastolic ?100 mm of Hg) (%)",4.2,4.3,4.3,,Bihar
"110. Elevated blood pressure (Systolic ?140 mm of Hg and/or Diastolic ?90 mm of Hg) or taking
medicine to control blood pressure (%)",19.5,18.1,18.4,,Bihar
Screening for Cancer among Adults (age 30-49 years),,,,,Bihar
Women,,,,,Bihar
111. Ever undergone a screening test for cervical cancer (%),0.6,0.9,0.8,,Bihar
112. Ever undergone a breast examination for breast cancer (%),0.4,0.3,0.3,,Bihar
113. Ever undergone an oral cavity examination for oral cancer (%),0.4,0.3,0.3,,Bihar
Men,,,,,Bihar
114. Ever undergone an oral cavity examination for oral cancer (%),1.3,0.8,0.9,,Bihar
Knowledge of HIV/AIDS among Adults (age 15-49 years),,,,,Bihar
115. Women who have comprehensive knowledge24  of HIV/AIDS (%),13.5,9.7,10.3,10.1,Bihar
116. Men who have comprehensive knowledge24  of HIV/AIDS (%),33.1,23,25.2,26.3,Bihar
117. Women who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),66.6,55.6,57.4,33.5,Bihar
118. Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),82.7,79.8,80.4,67.1,Bihar
Women's Empowerment (women age 15-49 years),,,,,Bihar
119. Currently married women who usually participate in three household decisions25 (%),84,87,86.5,75.2,Bihar
120. Women who worked in the last 12 months and were paid in cash (%),11.7,12.8,12.6,12.5,Bihar
121. Women owning a house and/or land (alone or jointly with others) (%),53.4,55.7,55.3,58.8,Bihar
122. Women having a bank or savings account that they themselves use (%),79.1,76.2,76.7,26.4,Bihar
123. Women having a mobile phone that they themselves use (%),61.8,49.3,51.4,40.9,Bihar
124. Women age 15-24 years who use hygienic methods of protection during their menstrual period26  (%),74.7,56,58.8,31,Bihar
Gender Based Violence (age 18-49 years),,,,,Bihar
125. Ever-married women age 18-49 years who have ever experienced spousal violence27  (%),40.6,39.9,40,43.7,Bihar
126. Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),1.9,3,2.8,4.8,Bihar
127. Young women age 18-29 years who experienced sexual violence by age 18 (%),7.1,8.5,8.3,14.2,Bihar
Tobacco Use and Alcohol Consumption among Adults (age 15 years and above),,,,,Bihar
128. Women age 15 years and above who use any kind of tobacco (%),3.6,5.3,5,,Bihar
129. Men age 15 years and above who use any kind of tobacco (%),40.3,50.7,48.8,,Bihar
130. Women age 15 years and above who consume alcohol (%),0.5,0.4,0.4,,Bihar
131. Men age 15 years and above who consume alcohol (%),14,15.8,15.5,,Bihar
Population and Household Profile,,,,,Goa
1. Female population age 6 years and above who ever attended school (%),90.2,87.2,89,85,Goa
2. Population below age 15 years (%),19.8,18.1,19.1,23.2,Goa
"3. Sex ratio of the total population (females per 1,000 males)",985,"1,092","1,027","1,018",Goa
"4. Sex ratio at birth for children born in the last five years (females per 1,000 males)",822,864,838,966,Goa
5. Children under age 5 years whose birth was registered with the civil authority (%),100,100,100,98.9,Goa
6. Deaths in the last 3 years registered with the civil authority (%),100,100,100,,Goa
7. Population living in households with electricity (%),100,100,100,99.8,Goa
8. Population living in households with an improved drinking-water source1  (%),99,97.8,98.5,96.7,Goa
9. Population living in households that use an improved sanitation facility2 (%),89,86.4,87.9,78.7,Goa
10. Households using clean fuel for cooking3  (%),98.8,93.1,96.5,84.1,Goa
11. Households using iodized salt (%),97.7,97.4,97.6,95.7,Goa
12. Households with any usual member covered under a health insurance/financing scheme (%),65.1,67.5,66,15.9,Goa
13. Children age 5 years who attended pre-primary school during the school year 2019-20 (%),19.5,18.2,19,,Goa
Characteristics of Adults (age 15-49 years),,,,,Goa
14. Women who are literate4  (%),92.6,93.4,93,,Goa
15. Men who are literate4  (%),94.9,98.5,96.3,,Goa
16. Women with 10 or more years of schooling (%),73,69.3,71.5,58.2,Goa
17. Men with 10 or more years of schooling (%),75,79.4,76.6,63.6,Goa
18. Women who have ever used the internet (%),78.1,68.3,73.7,,Goa
19. Men who have ever used the internet (%),86.1,76.6,82.9,,Goa
Marriage and Fertility,,,,,Goa
20. Women age 20-24 years married before age 18 years (%),7.7,3.2,5.8,9.8,Goa
21. Men age 25-29 years married before age 21 years (%),12.1,,8.9,8.4,Goa
22. Total fertility rate (children per woman),1.3,1.4,1.3,1.7,Goa
23. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.8,2.7,2.8,2.9,Goa
24. Adolescent fertility rate for women age 15-19 years5,17,11,14,16,Goa
"Infant and Child Mortality Rates (per 1,000 live births)",,,,,Goa
25. Neonatal mortality rate (NNMR),,,5.6,12.9,Goa
26. Infant mortality rate (IMR),,,5.6,12.9,Goa
27. Under-five mortality rate (U5MR),,,10.6,12.9,Goa
Current Use of Family Planning Methods (currently married women age 15–49 years),,,,,Goa
28. Any method6  (%),72.3,61.1,67.9,26.3,Goa
29. Any modern method6  (%),65,52.4,60.1,24.8,Goa
30. Female sterilization (%),33.2,24.9,29.9,16.3,Goa
31. Male sterilization (%),0,0,0,0,Goa
32. IUD/PPIUD (%),2.5,2.2,2.4,0.9,Goa
33. Pill (%),3.4,1.7,2.7,0.3,Goa
34. Condom (%),24.6,21.1,23.2,7.1,Goa
